Monat,gamification: (Weltweit)
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,1
2010-09,2
2010-10,3
2010-11,5
2010-12,4
2011-01,10
2011-02,9
2011-03,13
2011-04,19
2011-05,20
2011-06,21
2011-07,20
2011-08,27
2011-09,27
2011-10,26
2011-11,30
2011-12,25
2012-01,33
2012-02,34
2012-03,36
2012-04,41
2012-05,41
2012-06,40
2012-07,36
2012-08,43
2012-09,62
2012-10,52
2012-11,49
2012-12,41
2013-01,45
2013-02,47
2013-03,50
2013-04,62
2013-05,60
2013-06,51
2013-07,50
2013-08,47
2013-09,52
2013-10,59
2013-11,62
2013-12,44
2014-01,59
2014-02,67
2014-03,63
2014-04,65
2014-05,65
2014-06,56
2014-07,55
2014-08,51
2014-09,61
2014-10,60
2014-11,57
2014-12,47
2015-01,56
2015-02,61
2015-03,58
2015-04,58
2015-05,54
2015-06,56
2015-07,49
2015-08,50
2015-09,60
2015-10,56
2015-11,53
2015-12,46
2016-01,48
2016-02,54
2016-03,55
2016-04,55
2016-05,54
2016-06,51
2016-07,43
2016-08,46
2016-09,49
2016-10,56
2016-11,56
2016-12,44
2017-01,54
2017-02,58
2017-03,56
2017-04,57
2017-05,57
2017-06,52
2017-07,52
2017-08,51
2017-09,52
2017-10,54
2017-11,60
2017-12,46
2018-01,52
2018-02,53
2018-03,58
2018-04,52
2018-05,55
2018-06,51
2018-07,48
2018-08,47
2018-09,53
2018-10,56
2018-11,52
2018-12,44
2019-01,53
2019-02,53
2019-03,56
2019-04,54
2019-05,51
2019-06,60
2019-07,50
2019-08,46
2019-09,54
2019-10,50
2019-11,51
2019-12,44
2020-01,50
2020-02,53
2020-03,47
2020-04,51
2020-05,50
2020-06,51
2020-07,48
2020-08,46
2020-09,49
2020-10,46
2020-11,44
2020-12,39
2021-01,41
2021-02,46
2021-03,48
2021-04,47
2021-05,44
2021-06,45
2021-07,39
2021-08,39
2021-09,46
2021-10,48
2021-11,49
2021-12,43
2022-01,59
2022-02,61
2022-03,76
2022-04,77
2022-05,72
2022-06,70
2022-07,60
2022-08,54
2022-09,59
2022-10,62
2022-11,64
2022-12,49
2023-01,59
2023-02,62
2023-03,68
2023-04,100
2023-05,72
2023-06,60
2023-07,52
2023-08,53
2023-09,57
2023-10,65
2023-11,59
2023-12,52
2024-01,60
2024-02,68
2024-03,69
2024-04,73
2024-05,68
2024-06,58
2024-07,56
2024-08,52
2024-09,61
2024-10,71
2024-11,68
2024-12,56
2025-01,74
2025-02,77
2025-03,82
2025-04,68
2025-05,71
2025-06,91
2025-07,79
